text,sentiment,Clean_Text
I am so happy today,happy,happy today
This is terrible and makes me sad,sad,terrible makes sad
I feel amazing and full of joy,joy,feel amazing joy
I am extremely angry about this,anger,extremely angry
This is disappointing and frustrating,sad,disappointing frustrating
What a wonderful experience,joy,wonderful experience
I hate everything about this,anger,hate
This made me smile all day,happy,smile day
I feel lonely and depressed,sad,feel lonely depressed
I am excited and optimistic for the future,happy,excited optimistic future
This is the best thing ever,joy,best thing
I am furious right now,anger,furious right
Such a beautiful moment,joy,beautiful moment
I don't like how this happened,sad,like happened
Everything is going wrong,anger,going wrong
Life feels wonderful today,happy,Life feels wonderful today
I can't stop crying,sad,can't stop crying
I feel peace and calm,joy,feel peace calm
This is unfair and upsetting,anger,unfair upsetting
I love this so much,happy,love
