text,sentiment,Clean_Text
My heart is so sad inside,sad,heart sad inside
I can't stop feeling anger,anger,can't stop feeling anger
I can't stop feeling anger,anger,can't stop feeling anger
I can't stop feeling anger,anger,can't stop feeling anger
I am getting more anger,anger,getting anger
Everything feels so sad,sad,feels sad
I am getting more anger,anger,getting anger
Today is a happy day,happy,Today happy day
I feel very happy today,happy,feel happy today
Today is a happy day,happy,Today happy day
Today is filled with joy,joy,Today filled joy
Everything around me fills me with anger,anger,fills anger
This really makes me anger,anger,makes anger
My heart is shining with joy,joy,heart shining joy
I can't stop feeling anger,anger,can't stop feeling anger
Today is a happy day,happy,Today happy day
My heart is shining with joy,joy,heart shining joy
My heart feels happy,happy,heart feels happy
I'm so anger at this moment,anger,I'm anger moment
I'm so anger at this moment,anger,I'm anger moment
My heart is so sad inside,sad,heart sad inside
I feel very happy today,happy,feel happy today
I am getting more anger,anger,getting anger
I can't stop feeling anger,anger,can't stop feeling anger
I can't stop smiling from all this joy,joy,can't stop smiling joy
Today is a sad day,sad,Today sad day
I am extremely sad right now,sad,extremely sad right
I woke up feeling sad,sad,woke feeling sad
Everything feels so sad,sad,feels sad
I'm so anger at this moment,anger,I'm anger moment
This moment is full of joy,joy,moment joy
Everything around me fills me with anger,anger,fills anger
This moment is full of joy,joy,moment joy
My heart feels happy,happy,heart feels happy
Everything around me fills me with anger,anger,fills anger
Today is filled with joy,joy,Today filled joy
I can't stop smiling from all this joy,joy,can't stop smiling joy
Today is filled with joy,joy,Today filled joy
Today is a sad day,sad,Today sad day
I feel very happy today,happy,feel happy today
This really makes me anger,anger,makes anger
Everything around me fills me with anger,anger,fills anger
Today is a happy day,happy,Today happy day
I woke up feeling sad,sad,woke feeling sad
I can't stop feeling anger,anger,can't stop feeling anger
Today is a sad day,sad,Today sad day
My heart feels happy,happy,heart feels happy
This really makes me anger,anger,makes anger
I feel very happy today,happy,feel happy today
Today is filled with joy,joy,Today filled joy
I feel very happy today,happy,feel happy today
I can't stop smiling from all this joy,joy,can't stop smiling joy
Everything around me fills me with anger,anger,fills anger
My heart is so sad inside,sad,heart sad inside
This moment is full of joy,joy,moment joy
I am really happy right now,happy,happy right
My heart is shining with joy,joy,heart shining joy
Today is a happy day,happy,Today happy day
I am extremely sad right now,sad,extremely sad right
My heart is shining with joy,joy,heart shining joy
I woke up feeling sad,sad,woke feeling sad
I am really happy right now,happy,happy right
I can't stop smiling from all this joy,joy,can't stop smiling joy
My heart is shining with joy,joy,heart shining joy
This moment is full of joy,joy,moment joy
Everything around me fills me with anger,anger,fills anger
Everything feels so sad,sad,feels sad
I feel very happy today,happy,feel happy today
I can't stop feeling anger,anger,can't stop feeling anger
I am extremely sad right now,sad,extremely sad right
I feel pure joy inside,joy,feel pure joy inside
I woke up feeling sad,sad,woke feeling sad
This moment is full of joy,joy,moment joy
I am really happy right now,happy,happy right
