text,sentiment,Clean_Text
I am getting more anger,anger,getting anger
This really makes me anger,anger,makes anger
My heart is shining with joy,joy,heart shining joy
I'm so anger at this moment,anger,I'm anger moment
My heart feels happy,happy,heart feels happy
Today is a sad day,sad,Today sad day
I'm so anger at this moment,anger,I'm anger moment
I am extremely sad right now,sad,extremely sad right
I am really happy right now,happy,happy right
This makes me so happy,happy,makes happy
This makes me so happy,happy,makes happy
I'm so anger at this moment,anger,I'm anger moment
I feel happy today,happy,feel happy today
I'm struggling and feeling sad,sad,I'm struggling feeling sad
I can't stop feeling joy inside,joy,can't stop feeling joy inside
I can't stop feeling happy,happy,can't stop feeling happy
Today is filled with joy,joy,Today filled joy
Everything is making me anger,anger,making anger
My mind is full of anger thoughts,anger,mind anger thoughts
I'm so anger at this moment,anger,I'm anger moment
I feel very anger right now,anger,feel anger right
Today is a very anger day,anger,Today anger day
I feel happy today,happy,feel happy today
I feel very anger right now,anger,feel anger right
I feel so sad today,sad,feel sad today
Today is a happy day,happy,Today happy day
This really makes me anger,anger,makes anger
Everything is happy,happy,happy
I feel so sad today,sad,feel sad today
Today is a very anger day,anger,Today anger day
I'm experiencing pure joy,joy,I'm experiencing pure joy
I can't stop feeling joy inside,joy,can't stop feeling joy inside
I feel full of joy,joy,feel joy
I feel full of joy,joy,feel joy
I am getting more anger,anger,getting anger
This really makes me anger,anger,makes anger
Life feels so happy,happy,Life feels happy
My heart is shining with joy,joy,heart shining joy
Everything brings me joy,joy,brings joy
This really makes me anger,anger,makes anger
My heart is shining with joy,joy,heart shining joy
This moment is pure joy,joy,moment pure joy
My heart feels sad inside,sad,heart feels sad inside
I can't stop feeling happy,happy,can't stop feeling happy
I can't stop feeling anger,anger,can't stop feeling anger
Today is filled with joy,joy,Today filled joy
I'm struggling and feeling sad,sad,I'm struggling feeling sad
I can't stop feeling anger,anger,can't stop feeling anger
I feel so sad today,sad,feel sad today
I can't stop feeling joy inside,joy,can't stop feeling joy inside
Today is a happy day,happy,Today happy day
I'm so anger at this moment,anger,I'm anger moment
My mind is full of anger thoughts,anger,mind anger thoughts
I feel full of joy,joy,feel joy
I can't stop feeling happy,happy,can't stop feeling happy
I feel so sad today,sad,feel sad today
I'm grateful for the joy in my life,joy,I'm grateful joy life
Life feels so happy,happy,Life feels happy
Life feels so happy,happy,Life feels happy
This situation makes me sad,sad,situation makes sad
Everything is making me anger,anger,making anger
This situation makes me sad,sad,situation makes sad
I'm experiencing pure joy,joy,I'm experiencing pure joy
I am extremely anger today,anger,extremely anger today
Life feels sad these days,sad,Life feels sad days
I'm overwhelmed and sad,sad,I'm overwhelmed sad
Life feels so happy,happy,Life feels happy
I am really happy right now,happy,happy right
I am extremely anger today,anger,extremely anger today
This moment is pure joy,joy,moment pure joy
I'm grateful for the joy in my life,joy,I'm grateful joy life
I feel full of joy,joy,feel joy
This situation makes me sad,sad,situation makes sad
I feel happy today,happy,feel happy today
My heart feels sad inside,sad,heart feels sad inside
I feel happy today,happy,feel happy today
Today is a sad day,sad,Today sad day
My heart feels happy,happy,heart feels happy
Today is a very anger day,anger,Today anger day
I'm so anger at this moment,anger,I'm anger moment
This makes me so happy,happy,makes happy
I feel full of joy,joy,feel joy
I'm overwhelmed and sad,sad,I'm overwhelmed sad
I'm so anger at this moment,anger,I'm anger moment
Everything is happy,happy,happy
My heart feels happy,happy,heart feels happy
I can't stop feeling joy inside,joy,can't stop feeling joy inside
Today is a happy day,happy,Today happy day
I feel very anger right now,anger,feel anger right
Life is full of joy today,joy,Life joy today
I can't stop feeling joy inside,joy,can't stop feeling joy inside
I feel very anger right now,anger,feel anger right
I am extremely sad right now,sad,extremely sad right
My mind is full of anger thoughts,anger,mind anger thoughts
Everything brings me joy,joy,brings joy
I'm overwhelmed and sad,sad,I'm overwhelmed sad
I can't stop feeling happy,happy,can't stop feeling happy
I am extremely anger today,anger,extremely anger today
I feel very anger right now,anger,feel anger right
My mind is full of anger thoughts,anger,mind anger thoughts
Everything brings me joy,joy,brings joy
My mind is full of anger thoughts,anger,mind anger thoughts
Everything feels so sad,sad,feels sad
I'm grateful for the joy in my life,joy,I'm grateful joy life
I feel very anger right now,anger,feel anger right
I'm so anger at this moment,anger,I'm anger moment
