text,sentiment,Clean_Text
I woke up wanting to cry,sadness,woke wanting cry
That moment left me speechless,surprise,moment left speechless
My hands won't stop trembling,fear,hands stop trembling
My thoughts keep drifting to someone special,love,thoughts drifting special
I feel heavy and tired inside,sadness,feel heavy tired inside
This moment made me so happy inside,joy,moment happy inside
I feel unsafe and uneasy,fear,feel unsafe uneasy
I didn't expect that at all,surprise,expect
My heart feels low right now,sadness,heart feels low right
I can't shake this anxious feeling,fear,can't shake anxious feeling
This caught me completely off guard,surprise,caught completely guard
My patience is at its limit,anger,patience limit
I can't calm myself down right now,anger,can't calm right
I feel like shouting at someone,anger,feel like shouting
My heart feels warm when I think of you,love,heart feels warm think
I can't stop smiling today,joy,can't stop smiling today
I'm scared something bad will happen,fear,I'm scared bad happen
Nothing seems to help today,sadness,help today
Everything seems bright today,joy,bright today
I feel irritated for no reason,anger,feel irritated reason
I couldn't believe what I was seeing,surprise,believe seeing
Everything feels better with you around,love,feels better
I woke up feeling really good,joy,woke feeling good
I stood there shocked,surprise,stood shocked
I felt light and full of warmth,joy,felt light warmth
I'm struggling to keep it together,sadness,I'm struggling
My heart keeps pounding so fast,fear,heart keeps pounding fast
I feel deeply connected to that person,love,feel deeply connected person
Everything around me is frustrating today,anger,frustrating today
I can't stop smiling when you're here,love,can't stop smiling
I feel unsafe and uneasy,fear,feel unsafe uneasy
My heart feels low right now,sadness,heart feels low right
This moment made me so happy inside,joy,moment happy inside
I feel irritated for no reason,anger,feel irritated reason
I woke up wanting to cry,sadness,woke wanting cry
I can't shake this anxious feeling,fear,can't shake anxious feeling
I felt light and full of warmth,joy,felt light warmth
I feel like shouting at someone,anger,feel like shouting
I stood there shocked,surprise,stood shocked
Everything seems bright today,joy,bright today
My thoughts keep drifting to someone special,love,thoughts drifting special
I feel heavy and tired inside,sadness,feel heavy tired inside
I can't calm myself down right now,anger,can't calm right
I couldn't believe what I was seeing,surprise,believe seeing
I feel unsafe and uneasy,fear,feel unsafe uneasy
I feel deeply connected to that person,love,feel deeply connected person
Everything feels better with you around,love,feels better
I can't stop smiling today,joy,can't stop smiling today
My patience is at its limit,anger,patience limit
Everything around me is frustrating today,anger,frustrating today
I'm scared something bad will happen,fear,I'm scared bad happen
I can't stop smiling when you're here,love,can't stop smiling
I feel heavy and tired inside,sadness,feel heavy tired inside
I didn't expect that at all,surprise,expect
My heart keeps pounding so fast,fear,heart keeps pounding fast
I felt light and full of warmth,joy,felt light warmth
I feel irritated for no reason,anger,feel irritated reason
I'm struggling to keep it together,sadness,I'm struggling
Nothing seems to help today,sadness,help today
My heart feels warm when I think of you,love,heart feels warm think
I can't shake this anxious feeling,fear,can't shake anxious feeling
I feel deeply connected to that person,love,feel deeply connected person
Everything seems bright today,joy,bright today
I woke up feeling really good,joy,woke feeling good
Everything around me is frustrating today,anger,frustrating today
This moment made me so happy inside,joy,moment happy inside
I couldn't believe what I was seeing,surprise,believe seeing
I woke up wanting to cry,sadness,woke wanting cry
My hands won't stop trembling,fear,hands stop trembling
I feel unsafe and uneasy,fear,feel unsafe uneasy
Everything feels better with you around,love,feels better
I stood there shocked,surprise,stood shocked
My heart keeps pounding so fast,fear,heart keeps pounding fast
I feel like shouting at someone,anger,feel like shouting
I can't stop smiling today,joy,can't stop smiling today
I feel heavy and tired inside,sadness,feel heavy tired inside
I woke up feeling really good,joy,woke feeling good
I can't calm myself down right now,anger,can't calm right
I feel irritated for no reason,anger,feel irritated reason
Nothing seems to help today,sadness,help today
I feel unsafe and uneasy,fear,feel unsafe uneasy
My thoughts keep drifting to someone special,love,thoughts drifting special
I didn't expect that at all,surprise,expect
This caught me completely off guard,surprise,caught completely guard
I feel deeply connected to that person,love,feel deeply connected person
I can't shake this anxious feeling,fear,can't shake anxious feeling
Everything seems bright today,joy,bright today
My heart feels low right now,sadness,heart feels low right
I felt light and full of warmth,joy,felt light warmth
I'm struggling to keep it together,sadness,I'm struggling
I woke up wanting to cry,sadness,woke wanting cry
My heart feels warm when I think of you,love,heart feels warm think
I'm scared something bad will happen,fear,I'm scared bad happen
My hands won't stop trembling,fear,hands stop trembling
Everything around me is frustrating today,anger,frustrating today
I stood there shocked,surprise,stood shocked
Everything feels better with you around,love,feels better
This moment made me so happy inside,joy,moment happy inside
I can't stop smiling when you're here,love,can't stop smiling
My patience is at its limit,anger,patience limit
I couldn't believe what I was seeing,surprise,believe seeing
I can't shake this anxious feeling,fear,can't shake anxious feeling
My heart keeps pounding so fast,fear,heart keeps pounding fast
My heart feels low right now,sadness,heart feels low right
