text,cleaned_text
See the writing on the wall brother and sell the egg,writing wall brother sell egg
"Sell the egg, keep the house, marry Sophia, and have a beautiful life!",Sell egg house marry Sophia beautiful life
"Or, like so many successful entrepreneurs, keep racking your brain in search of that aha moment!  Mcdonalds and starbucks know your pain well!!",like successful entrepreneurs racking brain search aha moment Mcdonalds starbucks know pain
"Housing market ALWAYS goes up.  Sell K Sig, stay in house 5 more years.  Sell house, rebuild and then lease another with the profits.  I would sell right before office changes again.  Regardless, your house would've increased significantly and the value would stabilize near the top.",Housing market goes Sell K Sig stay house 5 years Sell house rebuild lease profits sell right office changes Regardless house wouldve increased significantly value stabilize near
1:29 why tf are they hollow?,129 tf hollow
"Sell everything, cash in. Quit youtube.",Sell cash Quit youtube
"sell the EGG , MARRY SOPHIE seriously dude💯",sell EGG MARRY SOPHIE seriously dude
992 TURBO S!!!!,992 TURBO
Clickbait! Strad = Snitch,Clickbait Strad Snitch
Male Karen,Male Karen
"Sells everything and marry Sofia, if you don't you need to get your head checked.",Sells marry Sofia dont need head checked
"Sell the egg, keep the house. Add some cool cars to the collection like Hellcat, mustang. Get rid of the high maintenance low fun kinda cars like the Countach",Sell egg house Add cool cars collection like Hellcat mustang rid high maintenance low fun kinda cars like Countach
Get a prenup if you marry Sophia I like her and I'm not saying she is after your money but she doesn't have to be to still get half of it if it doesn't work out,prenup marry Sophia like Im saying money doesnt half doesnt work
Maybe a gt4rs with forced induction?,Maybe gt4rs forced induction
buy some eggs and make flan,buy eggs flan
11:59 👍🏻,1159
Keep the countach. It’s the coolest car you have in my opinion.,countach coolest car opinion
Does utah sell E85?,utah sell E85
Rip egg 😔,Rip egg
Your life is falling apart. Spending money before it’s in the bank!,life falling apart Spending money bank
“Fedgrul” 😂 unlucky for the mailbox,Fedgrul unlucky mailbox
Buy the turbo S. 991. 100% a better car for the street.,Buy turbo 991 100 better car street
"For my fellow video editors, I coulddddd be wrong  but I think this video was edited on a timeline that is faster than the actual framerate, so the playback is eeeverr so slightly faster lol. I watch stradman so much that something was throwing me off. Nonetheless enjoyed the video",fellow video editors coulddddd wrong think video edited timeline faster actual framerate playback eeeverr slightly faster lol watch stradman throwing Nonetheless enjoyed video
"Definitely criminal damage to federal property! He needs his cdl taken, how many cars has he done this to? J/s",Definitely criminal damage federal property needs cdl taken cars Js
Goodbye egg,Goodbye egg
Strads Pretty Determined to keep the Egg,Strads Pretty Determined Egg
"Sell Sophie, Keep the house, Marry the egg and then happy days",Sell Sophie house Marry egg happy days
Bro is going to regret selling that countach,Bro going regret selling countach
Call the dot,dot
It is a felony to hit a mailbox.  You should report it.  #LW4WD,felony hit mailbox report LW4WD
992,992
"992 turbo s!! throw on an exhaust and its perfect, though not as flashy or loud as the gt3rs",992 turbo throw exhaust perfect flashy loud gt3rs
This is a main channel video all the way! Thanks for the content 👍,main channel video way Thanks content
taking out any mailbox is a federal crime,taking mailbox federal crime
