textID,text,selected_text,sentiment
9fb8aef772,See the writing on the wall brother and sell the egg,See the writing on the wall brother and sell the egg,negative
1bf647b47f,"Sell the egg, keep the house, marry Sophia, and have a beautiful life!","Sell the egg, keep the house, marry Sophia, and have a beautiful life!",positive
cc6b47935b,"Or, like so many successful entrepreneurs, keep racking your brain in search of that aha moment!  Mcdonalds and starbucks know your pain well!!","Or, like so many successful entrepreneurs, keep racking your brain in search of that aha moment!  Mcdonalds and starbucks know your pain well!!",neutral
05c0f8212c,"Housing market ALWAYS goes up.  Sell K Sig, stay in house 5 more years.  Sell house, rebuild and then lease another with the profits.  I would sell right before office changes again.  Regardless, your house would've increased significantly and the value would stabilize near the top.","Housing market ALWAYS goes up.  Sell K Sig, stay in house 5 more years.  Sell house, rebuild and then lease another with the profits.  I would sell right before office changes again.  Regardless, your house would've increased significantly and the value would stabilize near the top.",negative
3269db0980,1:29 why tf are they hollow?,1:29 why tf are they hollow?,neutral
e01c16b37f,"Sell everything, cash in. Quit youtube.","Sell everything, cash in. Quit youtube.",neutral
d88da16b25,"sell the EGG , MARRY SOPHIE seriously dude💯","sell the EGG , MARRY SOPHIE seriously dude💯",negative
107b58e117,992 TURBO S!!!!,992 TURBO S!!!!,neutral
0fdb2e95a7,Clickbait! Strad = Snitch,Clickbait! Strad = Snitch,neutral
7bfba66acc,Male Karen,Male Karen,neutral
b98f839683,"Sells everything and marry Sofia, if you don't you need to get your head checked.","Sells everything and marry Sofia, if you don't you need to get your head checked.",negative
9f7f67fddc,"Sell the egg, keep the house. Add some cool cars to the collection like Hellcat, mustang. Get rid of the high maintenance low fun kinda cars like the Countach","Sell the egg, keep the house. Add some cool cars to the collection like Hellcat, mustang. Get rid of the high maintenance low fun kinda cars like the Countach",positive
0a327a4aa1,Get a prenup if you marry Sophia I like her and I'm not saying she is after your money but she doesn't have to be to still get half of it if it doesn't work out,Get a prenup if you marry Sophia I like her and I'm not saying she is after your money but she doesn't have to be to still get half of it if it doesn't work out,negative
c952f8d614,Maybe a gt4rs with forced induction?,Maybe a gt4rs with forced induction?,neutral
370bb8c89b,buy some eggs and make flan,buy some eggs and make flan,neutral
cb2f56c669,11:59 👍🏻,11:59 👍🏻,neutral
d0109fe778,Keep the countach. It’s the coolest car you have in my opinion.,Keep the countach. It’s the coolest car you have in my opinion.,neutral
3ca1546cb9,Does utah sell E85?,Does utah sell E85?,neutral
42b529ca10,Rip egg 😔,Rip egg 😔,negative
1b1626dcbd,Your life is falling apart. Spending money before it’s in the bank!,Your life is falling apart. Spending money before it’s in the bank!,negative
f4cba8f273,“Fedgrul” 😂 unlucky for the mailbox,“Fedgrul” 😂 unlucky for the mailbox,negative
d6d19e06f6,Buy the turbo S. 991. 100% a better car for the street.,Buy the turbo S. 991. 100% a better car for the street.,positive
86bcee2112,"For my fellow video editors, I coulddddd be wrong  but I think this video was edited on a timeline that is faster than the actual framerate, so the playback is eeeverr so slightly faster lol. I watch stradman so much that something was throwing me off. Nonetheless enjoyed the video","For my fellow video editors, I coulddddd be wrong  but I think this video was edited on a timeline that is faster than the actual framerate, so the playback is eeeverr so slightly faster lol. I watch stradman so much that something was throwing me off. Nonetheless enjoyed the video",positive
21669f2db1,"Definitely criminal damage to federal property! He needs his cdl taken, how many cars has he done this to? J/s","Definitely criminal damage to federal property! He needs his cdl taken, how many cars has he done this to? J/s",negative
9cc5844466,Goodbye egg,Goodbye egg,neutral
e0c698b665,Strads Pretty Determined to keep the Egg,Strads Pretty Determined to keep the Egg,positive
4326bfb02c,"Sell Sophie, Keep the house, Marry the egg and then happy days","Sell Sophie, Keep the house, Marry the egg and then happy days",positive
7aebef08c5,Bro is going to regret selling that countach,Bro is going to regret selling that countach,negative
7ea22d5768,Call the dot,Call the dot,neutral
3bc3f0c417,It is a felony to hit a mailbox.  You should report it.  #LW4WD,It is a felony to hit a mailbox.  You should report it.  #LW4WD,negative
860320be12,992,992,neutral
8576afa396,"992 turbo s!! throw on an exhaust and its perfect, though not as flashy or loud as the gt3rs","992 turbo s!! throw on an exhaust and its perfect, though not as flashy or loud as the gt3rs",neutral
596f233c13,This is a main channel video all the way! Thanks for the content 👍,This is a main channel video all the way! Thanks for the content 👍,positive
125fab827d,taking out any mailbox is a federal crime,taking out any mailbox is a federal crime,neutral
899b75d896,992 GT3 RS,992 GT3 RS,neutral
8d06aa87bb,"everyone, find your own Sophia! don’t settle for anything less than what these two have","everyone, find your own Sophia! don’t settle for anything less than what these two have",neutral
124f05ed6f,Egg sell,Egg sell,neutral
b1b7fc0bc8,this channel is falling off because of the koenigsegg,this channel is falling off because of the koenigsegg,neutral
90d88469a8,Sell the egg brother,Sell the egg brother,neutral
d375be1b54,I love how everyone has come to the conclusion the egg gotta go it’s the smart thing to do,I love how everyone has come to the conclusion the egg gotta go it’s the smart thing to do,positive
c33688df35,Sell egg Strad,Sell egg Strad,neutral
