text,sentiment,Clean_Text
I woke up wanting to cry,sadness,woke wanting cry
That moment left me speechless,surprise,moment left speechless
My hands won't stop trembling,fear,hands stop trembling
My thoughts keep drifting to someone special,love,thoughts drifting special
I feel heavy and tired inside,sadness,feel heavy tired inside
This moment made me so happy inside,joy,moment happy inside
I feel unsafe and uneasy,fear,feel unsafe uneasy
I didn't expect that at all,surprise,expect
My heart feels low right now,sadness,heart feels low right
I can't shake this anxious feeling,fear,can't shake anxious feeling
This caught me completely off guard,surprise,caught completely guard
My patience is at its limit,anger,patience limit
I can't calm myself down right now,anger,can't calm right
I feel like shouting at someone,anger,feel like shouting
My heart feels warm when I think of you,love,heart feels warm think
My heart feels low right now,sadness,heart feels low right
I can't stop smiling today,joy,can't stop smiling today
My heart feels low right now,sadness,heart feels low right
My patience is at its limit,anger,patience limit
I woke up wanting to cry,sadness,woke wanting cry
I'm scared something bad will happen,fear,I'm scared bad happen
My hands won't stop trembling,fear,hands stop trembling
My thoughts keep drifting to someone special,love,thoughts drifting special
Nothing seems to help today,sadness,help today
I can't shake this anxious feeling,fear,can't shake anxious feeling
I feel unsafe and uneasy,fear,feel unsafe uneasy
Everything seems bright today,joy,bright today
I'm scared something bad will happen,fear,I'm scared bad happen
This moment made me so happy inside,joy,moment happy inside
I feel like shouting at someone,anger,feel like shouting
I feel irritated for no reason,anger,feel irritated reason
My heart feels low right now,sadness,heart feels low right
I couldn't believe what I was seeing,surprise,believe seeing
Everything feels better with you around,love,feels better
This caught me completely off guard,surprise,caught completely guard
I couldn't believe what I was seeing,surprise,believe seeing
I feel unsafe and uneasy,fear,feel unsafe uneasy
I feel deeply connected to that person,love,feel deeply connected person
I couldn't believe what I was seeing,surprise,believe seeing
I feel unsafe and uneasy,fear,feel unsafe uneasy
I feel heavy and tired inside,sadness,feel heavy tired inside
I felt light and full of warmth,joy,felt light warmth
Nothing seems to help today,sadness,help today
This moment made me so happy inside,joy,moment happy inside
This moment made me so happy inside,joy,moment happy inside
I can't shake this anxious feeling,fear,can't shake anxious feeling
I can't stop smiling today,joy,can't stop smiling today
I woke up feeling really good,joy,woke feeling good
I stood there shocked,surprise,stood shocked
That moment left me speechless,surprise,moment left speechless
I didn't expect that at all,surprise,expect
I felt light and full of warmth,joy,felt light warmth
I woke up feeling really good,joy,woke feeling good
I can't calm myself down right now,anger,can't calm right
That moment left me speechless,surprise,moment left speechless
This caught me completely off guard,surprise,caught completely guard
I can't stop smiling when you're here,love,can't stop smiling
I'm scared something bad will happen,fear,I'm scared bad happen
I couldn't believe what I was seeing,surprise,believe seeing
I'm scared something bad will happen,fear,I'm scared bad happen
Everything around me is frustrating today,anger,frustrating today
Everything seems bright today,joy,bright today
My heart feels low right now,sadness,heart feels low right
Everything feels better with you around,love,feels better
I'm scared something bad will happen,fear,I'm scared bad happen
I can't stop smiling when you're here,love,can't stop smiling
I can't calm myself down right now,anger,can't calm right
My heart keeps pounding so fast,fear,heart keeps pounding fast
I can't stop smiling when you're here,love,can't stop smiling
My heart feels warm when I think of you,love,heart feels warm think
I feel unsafe and uneasy,fear,feel unsafe uneasy
Everything seems bright today,joy,bright today
I didn't expect that at all,surprise,expect
My hands won't stop trembling,fear,hands stop trembling
I feel irritated for no reason,anger,feel irritated reason
I didn't expect that at all,surprise,expect
This moment made me so happy inside,joy,moment happy inside
Everything feels better with you around,love,feels better
I woke up wanting to cry,sadness,woke wanting cry
My heart feels low right now,sadness,heart feels low right
I can't stop smiling when you're here,love,can't stop smiling
I can't stop smiling today,joy,can't stop smiling today
I couldn't believe what I was seeing,surprise,believe seeing
I stood there shocked,surprise,stood shocked
Nothing seems to help today,sadness,help today
I feel unsafe and uneasy,fear,feel unsafe uneasy
Everything feels better with you around,love,feels better
Everything seems bright today,joy,bright today
I can't stop smiling today,joy,can't stop smiling today
Everything feels better with you around,love,feels better
My heart feels warm when I think of you,love,heart feels warm think
I feel heavy and tired inside,sadness,feel heavy tired inside
I can't stop smiling today,joy,can't stop smiling today
This caught me completely off guard,surprise,caught completely guard
I feel heavy and tired inside,sadness,feel heavy tired inside
Everything around me is frustrating today,anger,frustrating today
I didn't expect that at all,surprise,expect
Nothing seems to help today,sadness,help today
My hands won't stop trembling,fear,hands stop trembling
I feel irritated for no reason,anger,feel irritated reason
My thoughts keep drifting to someone special,love,thoughts drifting special
I feel heavy and tired inside,sadness,feel heavy tired inside
I can't stop smiling today,joy,can't stop smiling today
Everything feels better with you around,love,feels better
My thoughts keep drifting to someone special,love,thoughts drifting special
I couldn't believe what I was seeing,surprise,believe seeing
My heart feels low right now,sadness,heart feels low right
I feel unsafe and uneasy,fear,feel unsafe uneasy
This caught me completely off guard,surprise,caught completely guard
I stood there shocked,surprise,stood shocked
This moment made me so happy inside,joy,moment happy inside
This moment made me so happy inside,joy,moment happy inside
I can't stop smiling today,joy,can't stop smiling today
I stood there shocked,surprise,stood shocked
Nothing seems to help today,sadness,help today
I feel like shouting at someone,anger,feel like shouting
I stood there shocked,surprise,stood shocked
Everything around me is frustrating today,anger,frustrating today
I feel deeply connected to that person,love,feel deeply connected person
This caught me completely off guard,surprise,caught completely guard
My hands won't stop trembling,fear,hands stop trembling
I woke up wanting to cry,sadness,woke wanting cry
I couldn't believe what I was seeing,surprise,believe seeing
My heart feels low right now,sadness,heart feels low right
My hands won't stop trembling,fear,hands stop trembling
I can't shake this anxious feeling,fear,can't shake anxious feeling
I'm struggling to keep it together,sadness,I'm struggling
I feel deeply connected to that person,love,feel deeply connected person
I feel unsafe and uneasy,fear,feel unsafe uneasy
This caught me completely off guard,surprise,caught completely guard
I feel like shouting at someone,anger,feel like shouting
I feel like shouting at someone,anger,feel like shouting
I woke up feeling really good,joy,woke feeling good
Everything around me is frustrating today,anger,frustrating today
Everything feels better with you around,love,feels better
I can't stop smiling today,joy,can't stop smiling today
I woke up wanting to cry,sadness,woke wanting cry
This moment made me so happy inside,joy,moment happy inside
I'm struggling to keep it together,sadness,I'm struggling
